BMS-ID,AreaNum,OwnerCode,LocationID,,ID,X,Y,AMGX,AMGY,GrpNum,DetNum,Zone,ExitDist,RegionID,Suburb,EnableLogging,VersionNumber,Comment,ApplyThreshHold,ThreshHold,ArrivalLagTime,st1,st2,st3,typ,mnt,sub,lin,ind,con,dwg,cto,cmn,lmn,dmn,atf,ccd,pri,seq,link,vid_site,at,atd,volocc,at_st,at_fi,lcmVers,IntGrpNo,Approaches,Patching,Cost
18064,B8064,B,6753,#N/A,6753,152.968203,-27.448741,496853,6963854,NULL,NULL,NULL,0,NULL,ASHGROVE,Y,0,NULL,N,NULL,0,WATERWORKS ROAD,GREENLANES ROAD,NULL,NULL,NULL,NULL,93,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18065,B8065,B,18218,#N/A,18218,153.065595,-27.431175,0,0,NULL,NULL,NULL,NULL,NULL,ASCOT,Y,0,NULL,N,NULL,0,RACECOURSE RD,LANCASTER RD,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18066,B8066,B,18217,#N/A,18217,153.048892,-27.498579,0,0,NULL,NULL,NULL,NULL,NULL,FITZGIBN,Y,0,NULL,N,NULL,0,ROGHAN RD,CARSELGROVE AVE,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18067,B8067,B,6619,#N/A,6619,153.031049,-27.43979,496853,6963854,NULL,NULL,NULL,0,NULL,Lutwyche,Y,0,NULL,N,NULL,0,Lutwyche Rd,Cedric St,NULL,NULL,NULL,NULL,82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18068,B8068,B,18219,#N/A,18219,153.048892,-27.498579,0,0,NULL,NULL,NULL,NULL,NULL,EAGLE FM,Y,0,NULL,N,NULL,0,SCHNEIDER RD,TRADE COAST BUS DEP,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18069,B8069,B,18220,#N/A,18220,153.033807,-27.420296,0,0,NULL,NULL,NULL,NULL,NULL,LUTWYCHE,Y,0,NULL,N,NULL,0,LAMINGTON AVE,BUSWAY,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18070,B8070,B,18213,#N/A,18213,153.0033881,-27.420263,0,0,NULL,NULL,NULL,NULL,NULL,LUTWYCHE,Y,0,NULL,N,NULL,0,LUTWYCHEBUSWAY STAT,LUTWYCHE ACCESS,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18071,B8071,NULL,18689,#N/A,18689,153.041696,-27.342628,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,Y,0,NULL,N,NULL,0,HANDFORD,ALDI ENTRANCE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18073,B8073,NULL,18766,#N/A,18766,152.97345,-27.499775,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,Y,0,NULL,N,NULL,0,STAMFORD RD,BELGRAVE RD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18074,B8074,NULL,18578,#N/A,18578,153.006,-27.4938,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,Y,0,NULL,N,NULL,0,SIR FRED SCHONELL DR,COLDRIDGE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
